datetime,symbol,open,high,low,close,volume
2023-01-14 01:05:00,NASDAQ:TSLA,120.68,120.81,120.59,120.7,4430.0
2023-01-14 01:06:00,NASDAQ:TSLA,120.73,120.78,120.65,120.72,2036.0
2023-01-14 01:07:00,NASDAQ:TSLA,120.73,120.75,120.65,120.73,1819.0
2023-01-14 01:08:00,NASDAQ:TSLA,120.74,120.84,120.69,120.79,3278.0
2023-01-14 01:09:00,NASDAQ:TSLA,120.78,120.85,120.73,120.85,1845.0
2023-01-14 01:10:00,NASDAQ:TSLA,120.83,120.83,120.62,120.62,2879.0
2023-01-14 01:11:00,NASDAQ:TSLA,120.63,120.86,120.63,120.84,6488.0
2023-01-14 01:12:00,NASDAQ:TSLA,120.8,120.92,120.8,120.84,6625.0
2023-01-14 01:13:00,NASDAQ:TSLA,120.82,120.93,120.82,120.87,1993.0
2023-01-14 01:14:00,NASDAQ:TSLA,120.83,120.88,120.79,120.83,1645.0
2023-01-14 01:15:00,NASDAQ:TSLA,120.84,120.89,120.81,120.81,4522.0
2023-01-14 01:16:00,NASDAQ:TSLA,120.82,120.94,120.82,120.93,12402.0
2023-01-14 01:17:00,NASDAQ:TSLA,120.9,120.93,120.74,120.74,8854.0
2023-01-14 01:18:00,NASDAQ:TSLA,120.76,120.76,120.63,120.71,3891.0
2023-01-14 01:19:00,NASDAQ:TSLA,120.73,120.81,120.68,120.705,2505.0
2023-01-14 01:20:00,NASDAQ:TSLA,120.68,120.845,120.68,120.77,1507.0
2023-01-14 01:21:00,NASDAQ:TSLA,120.74,120.74,120.61,120.63,5353.0
2023-01-14 01:22:00,NASDAQ:TSLA,120.67,120.74,120.6,120.74,2766.0
2023-01-14 01:23:00,NASDAQ:TSLA,120.7,120.77,120.64,120.77,1827.0
2023-01-14 01:24:00,NASDAQ:TSLA,120.79,120.8,120.67,120.71,3941.0
2023-01-14 01:25:00,NASDAQ:TSLA,120.71,120.715,120.65,120.71,2395.0
2023-01-14 01:26:00,NASDAQ:TSLA,120.67,120.93,120.67,120.87,8975.0
2023-01-14 01:27:00,NASDAQ:TSLA,120.85,120.92,120.82,120.85,5241.0
