datetime,symbol,open,high,low,close,volume
2022-03-30 10:45:00,NSE:NIFTY1!,17484.2,17520.0,17480.0,17511.65,543850.0
2022-03-30 11:00:00,NSE:NIFTY1!,17511.0,17522.8,17503.0,17511.35,274800.0
2022-03-30 11:15:00,NSE:NIFTY1!,17512.0,17533.5,17512.0,17524.05,333350.0
2022-03-30 11:30:00,NSE:NIFTY1!,17525.1,17528.0,17508.55,17515.2,296050.0
2022-03-30 11:45:00,NSE:NIFTY1!,17515.55,17531.35,17512.55,17514.0,266050.0
2022-03-30 12:00:00,NSE:NIFTY1!,17514.05,17525.0,17507.95,17517.5,228050.0
2022-03-30 12:15:00,NSE:NIFTY1!,17517.95,17524.15,17498.95,17503.35,165850.0
2022-03-30 12:30:00,NSE:NIFTY1!,17503.0,17518.75,17492.6,17512.0,185550.0
2022-03-30 12:45:00,NSE:NIFTY1!,17511.7,17513.95,17500.95,17510.5,259350.0
2022-03-30 13:00:00,NSE:NIFTY1!,17510.5,17511.75,17486.55,17495.1,327800.0
2022-03-30 13:15:00,NSE:NIFTY1!,17499.6,17512.1,17490.0,17512.1,164050.0
2022-03-30 13:30:00,NSE:NIFTY1!,17510.2,17526.1,17507.25,17511.6,194950.0
2022-03-30 13:45:00,NSE:NIFTY1!,17511.0,17512.05,17456.55,17470.05,384850.0
2022-03-30 14:00:00,NSE:NIFTY1!,17469.5,17479.7,17425.0,17478.4,714300.0
2022-03-30 14:15:00,NSE:NIFTY1!,17475.55,17489.9,17452.15,17466.0,307550.0
2022-03-30 14:30:00,NSE:NIFTY1!,17467.0,17488.25,17460.2,17487.35,283850.0
2022-03-30 14:45:00,NSE:NIFTY1!,17485.9,17496.75,17471.55,17477.5,248400.0
2022-03-30 15:00:00,NSE:NIFTY1!,17476.0,17525.0,17474.0,17524.35,413000.0
2022-03-30 15:15:00,NSE:NIFTY1!,17526.0,17539.95,17512.05,17519.4,510650.0
2022-03-30 15:30:00,NSE:NIFTY1!,17517.9,17521.95,17491.4,17494.0,519400.0
2022-03-31 09:30:00,NSE:NIFTY1!,17519.55,17538.0,17486.95,17497.0,464100.0
2022-03-31 09:45:00,NSE:NIFTY1!,17497.0,17555.15,17497.0,17544.05,469250.0
2022-03-31 10:00:00,NSE:NIFTY1!,17544.45,17555.8,17540.55,17544.0,404400.0
2022-03-31 10:15:00,NSE:NIFTY1!,17544.55,17547.35,17530.0,17544.0,192450.0
2022-03-31 10:30:00,NSE:NIFTY1!,17545.0,17549.0,17526.85,17530.15,190600.0
2022-03-31 10:45:00,NSE:NIFTY1!,17530.0,17537.95,17515.0,17516.4,263100.0
2022-03-31 11:00:00,NSE:NIFTY1!,17520.75,17534.0,17507.5,17527.2,524750.0
2022-03-31 11:15:00,NSE:NIFTY1!,17531.4,17533.7,17511.5,17518.8,675600.0
2022-03-31 11:30:00,NSE:NIFTY1!,17516.35,17521.7,17503.1,17508.55,472800.0
2022-03-31 11:45:00,NSE:NIFTY1!,17509.1,17519.0,17487.65,17489.05,359100.0
2022-03-31 12:00:00,NSE:NIFTY1!,17488.95,17493.9,17471.1,17483.3,280400.0
2022-03-31 12:15:00,NSE:NIFTY1!,17482.75,17489.95,17461.1,17482.95,169350.0
2022-03-31 12:30:00,NSE:NIFTY1!,17483.2,17497.8,17480.0,17497.8,161650.0
2022-03-31 12:45:00,NSE:NIFTY1!,17499.0,17514.0,17497.95,17506.1,180550.0
